,HSHD_NUM,L,AGE_RANGE,MARITAL,INCOME_RANGE,HOMEOWNER,HSHD_COMPOSITION,HH_SIZE,CHILDREN,BASKET_NUM,PURCHASE_,PRODUCT_NUM,SPEND,UNITS,STORE_R,WEEK_NUM,YEAR,DEPARTMENT,COMMODITY,BRAND_TY,NATURAL_ORGANIC_FLAG
108363,10,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,75774,2020-05-12,8118,1.58,1,EAST   ,19,2020,NON-FOOD                  ,COSMETICS                 ,NATIONAL,N
489312,10,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,36453,2019-06-09,8118,2.66,1,EAST   ,23,2019,NON-FOOD                  ,COSMETICS                 ,NATIONAL,N
309794,10,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,83182,2020-07-25,8436,0.5,1,EAST   ,29,2020,FOOD                      ,DRY GOODS                 ,NATIONAL,N
395701,10,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,11982,2018-11-21,8436,0.64,1,EAST   ,46,2018,FOOD                      ,DRY GOODS                 ,NATIONAL,N
402855,10,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,85335,2020-08-15,8436,0.61,1,EAST   ,32,2020,FOOD                      ,DRY GOODS                 ,NATIONAL,N
855590,10,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,82030,2020-07-13,8487,1.77,3,EAST   ,28,2020,FOOD                      ,DRY GOODS                 ,NATIONAL,N
198967,10,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,82030,2020-07-13,8497,1.65,1,EAST   ,28,2020,FOOD                      ,DRY GOODS                 ,NATIONAL,N
733368,10,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,40197,2019-07-11,8473,1.0,2,EAST   ,27,2019,FOOD                      ,DRY GOODS                 ,NATIONAL,N
151576,10,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,6252,2018-10-06,8494,1.07,1,EAST   ,39,2018,FOOD                      ,DRY GOODS                 ,NATIONAL,N
245722,10,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,49810,2019-09-29,8494,2.16,1,EAST   ,39,2019,FOOD                      ,DRY GOODS                 ,NATIONAL,N
118761,10,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,1120,2018-08-26,6583,3.65,1,EAST   ,34,2018,FOOD                      ,PRODUCE                   ,NATIONAL,N
148266,10,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,67229,2020-02-22,6583,3.29,1,EAST   ,7,2020,FOOD                      ,PRODUCE                   ,NATIONAL,N
182721,10,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,37929,2019-06-22,6583,5.52,1,EAST   ,24,2019,FOOD                      ,PRODUCE                   ,NATIONAL,N
408057,10,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,7283,2018-10-14,6583,3.47,1,EAST   ,41,2018,FOOD                      ,PRODUCE                   ,NATIONAL,N
424516,10,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,60524,2019-12-26,6583,6.5,1,EAST   ,51,2019,FOOD                      ,PRODUCE                   ,NATIONAL,N
579007,10,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,9591,2018-11-02,6583,5.57,1,EAST   ,43,2018,FOOD                      ,PRODUCE                   ,NATIONAL,N
751100,10,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,46892,2019-09-04,6583,6.71,1,EAST   ,35,2019,FOOD                      ,PRODUCE                   ,NATIONAL,N
149584,10,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,24133,2019-03-01,9058,1.48,1,EAST   ,8,2019,NON-FOOD                  ,HOUSEHOLD                 ,NATIONAL,N
351056,10,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,41980,2019-07-26,9058,2.29,1,EAST   ,29,2019,NON-FOOD                  ,HOUSEHOLD                 ,NATIONAL,N
511263,10,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,18475,2019-01-13,9058,2.83,1,EAST   ,2,2019,NON-FOOD                  ,HOUSEHOLD                 ,NATIONAL,N
666135,10,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,65825,2020-02-10,9058,3.56,1,EAST   ,6,2020,NON-FOOD                  ,HOUSEHOLD                 ,NATIONAL,N
745659,10,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,32902,2019-05-11,9058,2.52,1,EAST   ,18,2019,NON-FOOD                  ,HOUSEHOLD                 ,NATIONAL,N
851148,10,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,36453,2019-06-09,9058,2.76,2,EAST   ,23,2019,NON-FOOD                  ,HOUSEHOLD                 ,NATIONAL,N
863579,10,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,13822,2018-12-07,9058,1.86,1,EAST   ,48,2018,NON-FOOD                  ,HOUSEHOLD                 ,NATIONAL,N
910299,10,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,73843,2020-04-24,9058,1.31,1,EAST   ,16,2020,NON-FOOD                  ,HOUSEHOLD                 ,NATIONAL,N
369350,10,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,69833,2020-03-15,9057,1.61,1,EAST   ,11,2020,NON-FOOD                  ,HOUSEHOLD                 ,NATIONAL,N
375851,10,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,37227,2019-06-16,8505,2.51,1,EAST   ,24,2019,FOOD                      ,DRY GOODS                 ,NATIONAL,N
121417,10,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,6252,2018-10-06,8020,1.43,1,EAST   ,39,2018,NON-FOOD                  ,COSMETICS                 ,NATIONAL,N
131206,10,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,83390,2020-07-27,8020,0.82,1,EAST   ,30,2020,NON-FOOD                  ,COSMETICS                 ,NATIONAL,N
873447,10,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,7957,2018-10-20,9082,1.54,2,EAST   ,41,2018,NON-FOOD                  ,HOUSEHOLD                 ,NATIONAL,N
100722,10,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,73843,2020-04-24,8979,1.39,1,EAST   ,16,2020,NON-FOOD                  ,HOUSEHOLD                 ,PRIVATE ,N
482614,10,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,62292,2020-01-10,9193,2.42,1,EAST   ,1,2020,NON-FOOD                  ,HOUSEHOLD                 ,NATIONAL,N
521428,10,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,22001,2019-02-11,9193,1.65,1,EAST   ,6,2019,NON-FOOD                  ,HOUSEHOLD                 ,NATIONAL,N
707508,10,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,6532,2018-10-09,9193,1.92,1,EAST   ,40,2018,NON-FOOD                  ,HOUSEHOLD                 ,NATIONAL,N
324753,10,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,80224,2020-06-26,33048,1.87,1,EAST   ,25,2020,FOOD                      ,IN STORE FOOD SERVICE     ,NATIONAL,N
813796,10,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,38611,2019-06-27,8805,1.28,1,EAST   ,25,2019,NON-FOOD                  ,HOUSEHOLD                 ,PRIVATE ,N
867926,10,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,75774,2020-05-12,8486,1.29,1,EAST   ,19,2020,FOOD                      ,DRY GOODS                 ,NATIONAL,N
473294,10,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,83182,2020-07-25,8514,1.29,1,EAST   ,29,2020,FOOD                      ,DRY GOODS                 ,NATIONAL,N
556206,10,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,82030,2020-07-13,8514,1.29,1,EAST   ,28,2020,FOOD                      ,DRY GOODS                 ,NATIONAL,N
42011,10,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,2403,2018-09-05,9099,1.47,1,EAST   ,35,2018,NON-FOOD                  ,HOUSEHOLD                 ,NATIONAL,N
443266,10,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,18475,2019-01-13,9099,1.29,1,EAST   ,2,2019,NON-FOOD                  ,HOUSEHOLD                 ,NATIONAL,N
592381,10,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,38611,2019-06-27,9099,1.47,1,EAST   ,25,2019,NON-FOOD                  ,HOUSEHOLD                 ,NATIONAL,N
707217,10,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,82221,2020-07-15,9099,1.61,1,EAST   ,28,2020,NON-FOOD                  ,HOUSEHOLD                 ,NATIONAL,N
744957,10,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,7957,2018-10-20,9099,1.94,1,EAST   ,41,2018,NON-FOOD                  ,HOUSEHOLD                 ,NATIONAL,N
134714,10,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,32902,2019-05-11,8263,2.99,1,EAST   ,18,2019,FOOD                      ,DRY GOODS                 ,NATIONAL,N
379722,10,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,82030,2020-07-13,33097,3.24,1,EAST   ,28,2020,FOOD                      ,IN STORE FOOD SERVICE     ,NATIONAL,N
168669,54,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,75029,2020-05-07,8118,3.58,1,EAST   ,18,2020,NON-FOOD                  ,COSMETICS                 ,NATIONAL,N
294674,54,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,9473,2018-11-01,8118,10.77,1,EAST   ,43,2018,NON-FOOD                  ,COSMETICS                 ,NATIONAL,N
341439,54,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,53959,2019-11-02,8118,3.39,1,EAST   ,43,2019,NON-FOOD                  ,COSMETICS                 ,NATIONAL,N
582553,54,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,46295,2019-08-29,8118,2.46,1,EAST   ,34,2019,NON-FOOD                  ,COSMETICS                 ,NATIONAL,N
896101,54,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,15094,2018-12-16,8118,2.48,1,EAST   ,50,2018,NON-FOOD                  ,COSMETICS                 ,NATIONAL,N
317958,54,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,19096,2019-01-18,8490,0.89,1,EAST   ,2,2019,FOOD                      ,DRY GOODS                 ,NATIONAL,N
25708,54,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,59803,2019-12-20,8436,0.6,1,EAST   ,50,2019,FOOD                      ,DRY GOODS                 ,NATIONAL,N
27099,54,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,14882,2018-12-15,8436,1.32,1,EAST   ,49,2018,FOOD                      ,DRY GOODS                 ,NATIONAL,N
45212,54,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,23961,2019-02-28,8436,1.23,1,EAST   ,8,2019,FOOD                      ,DRY GOODS                 ,NATIONAL,N
79927,54,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,51412,2019-10-12,8436,0.64,1,EAST   ,40,2019,FOOD                      ,DRY GOODS                 ,NATIONAL,N
113970,54,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,10839,2018-11-11,8436,1.31,1,EAST   ,45,2018,FOOD                      ,DRY GOODS                 ,NATIONAL,N
152109,54,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,25634,2019-03-14,8436,1.35,1,EAST   ,10,2019,FOOD                      ,DRY GOODS                 ,NATIONAL,N
169146,54,Y,null                                                                                                                                                                                                    ,null   ,null                                                                                                                                                                                                    ,null     ,null             ,null                                                                                                                                                                                                    ,,5574,2018-10-01,8436,1.33,1,EAST   ,39,2018,FOOD                      ,DRY GOODS                 ,NATIONAL,N
